,user_id,song_id,listen_count,title,release,artist_name,year,song
4122,9b887e10a4711486085c4fae2d2599fc0d2c484d,SOYFMNU12AB0181435,1,ROCKSTAR 101,Rated R,Rihanna / Slash,2009,ROCKSTAR 101 - Rihanna / Slash
6980,529b42cdbc379ad2e765aec6d3bad8a192038741,SOEIWVQ12AB018213F,1,Zero,It's Blitz!,Yeah Yeah Yeahs,2009,Zero - Yeah Yeah Yeahs
7452,497f5a58ffeaa953d619e95ca5b8736e74b99127,SOLDAJP12A8C1350D0,4,Louie Louie,The Best of The Kingsmen,The Kingsmen,1963,Louie Louie - The Kingsmen
4776,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOVVBPK12A58A810CA,2,Quando_ Quando_ Quando (Album Version),It's Time,Michael Bublé (With Nelly Furtado),2005,Quando_ Quando_ Quando (Album Version) - Michael Bublé (With Nelly Furtado)
7033,d5618c6813c7a067646edcf9c7243ccb95919460,SOGDSFK12AB018A200,1,Changed My Mind,Time Bomb,Iration,0,Changed My Mind - Iration
5346,37029a65b9925fb3c1964774fcab695b82955f76,SOAXGDH12A8C13F8A1,7,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0,Dog Days Are Over (Radio Edit) - Florence + The Machine
4099,9b887e10a4711486085c4fae2d2599fc0d2c484d,SOUNUNQ12A58A79992,1,Soldier,Soldier,Destiny's Child featuring T.I. and Lil Wayne,2005,Soldier - Destiny's Child featuring T.I. and Lil Wayne
9029,3fd3acaa8dfeb94b0602a33085b44ebe80545dd2,SOIWLMH12AB017EB6C,1,Doo Wop (That Thing),The Miseducation of Lauryn Hill,Lauryn Hill,1998,Doo Wop (That Thing) - Lauryn Hill
292,17aa9f6dbdf753831da8f38c71b66b64373de613,SOYCZLK12A6D4FA7B4,1,Capturing Moods,The Execution Of All Things,Rilo Kiley,2002,Capturing Moods - Rilo Kiley
8890,319e7ef4be6f8fcdb21b40a4f4b22679d4c59e33,SOIRNHL12A6D4F9A50,1,Chain Hang Low,Jibbs feat. Jibbs,Jibbs,2006,Chain Hang Low - Jibbs
4903,17ac9905f03a5d2908ac64667fb156bf63ccae66,SOZBZSY12A6D4FA404,1,Boys Don't Cry,Starter For 10: Original Motion Picture Soundtrack [International],The Cure,1979,Boys Don't Cry - The Cure
7296,e188e309e19e0847a05156d6efecc04e4bff4fc7,SOXROCS12AB018A202,1,Love You More,Time Without Consequence,Alexi Murdoch,2006,Love You More - Alexi Murdoch
3969,9b887e10a4711486085c4fae2d2599fc0d2c484d,SOBEVGM12A67ADBCA7,1,Baby Boy [feat. Beyonce],Dutty Rock,Sean Paul,0,Baby Boy [feat. Beyonce] - Sean Paul
9704,b12c786deef0e618b5f277bc337f67128f425efe,SOINDRZ12A6701DAF6,3,Romantic Rights,You're A Woman_ I'm A Machine,Death From Above 1979,2004,Romantic Rights - Death From Above 1979
7396,7602b1490de8e5ce87ac674643a99d8a569d79f0,SOCXGXS12A6D4F7792,1,Long Way 2 Go (Album Version),100 R&B Classics - The Anthems,Cassie,0,Long Way 2 Go (Album Version) - Cassie
9940,4e7c9c148ab29ae7fa5cd31eb4302762f18399cd,SOYSZFQ12A58A7C2DD,1,Everybody Everybody,Dreamland,Black Box,1990,Everybody Everybody - Black Box
5763,19d6ebd8c8a622d1b0115c63bee06523792215b5,SOPABZM12A6D4FC668,2,I Think I'll Live,Less And Less And I Don't Love You Anymore,Charlie Louvin,0,I Think I'll Live - Charlie Louvin
1963,99d57b8925d3c30c534d2e651cc029fcaaa86cce,SODTJFU12B0B80C9BE,1,Neon Knights,The Looks,MSTRKRFT,2006,Neon Knights - MSTRKRFT
8010,38db697de143ca55dcf259f99275624710e233c1,SOFWBSS12A8C136313,1,Situation,Cookies,1990s,2007,Situation - 1990s
3441,515c6d7023ad31411c1f6b11e0b2f56810348bee,SOCKSGZ12A58A7CA4B,3,Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park,2008,Bleed It Out [Live At Milton Keynes] - Linkin Park
5394,12a4a991c8b53cd6906995caed8b1f2bd3b6436a,SODCFRT12AF72A2C2C,1,Dental Care,Ocean Eyes,Owl City,2009,Dental Care - Owl City
2387,01655ae6bc52e29c9cd100a7dde4e9eeae5e4031,SOAQTNT12A6701F957,1,That Was Just A Dream,Bright Like Neon Love,Cut Copy,2004,That Was Just A Dream - Cut Copy
2671,ea07020bb223c733ccc55aa925ebcc25c4d97377,SOLVAEN12A67AE0410,1,Wait A Minute,Wait A Minute,The Pussycat Dolls / Timbaland,2007,Wait A Minute - The Pussycat Dolls / Timbaland
3516,bd64f193f0f53f09d44ff48fd52830ff2fded392,SOACIPG12A8AE47E1C,1,I Hate Everything About You,Three Days Grace (Deluxe Version),Three Days Grace,2003,I Hate Everything About You - Three Days Grace
2502,9fba771d9731561eba47216f6fbfc0023d88641b,SOWMELF12AB0184958,2,Mexican Radio,Mexican Radio,Wall Of Voodoo,1982,Mexican Radio - Wall Of Voodoo
3988,9b887e10a4711486085c4fae2d2599fc0d2c484d,SODWUBY12A6D4F8E8A,1,Some Unholy War,Frank & Back to Black,Amy Winehouse,2006,Some Unholy War - Amy Winehouse
3999,9b887e10a4711486085c4fae2d2599fc0d2c484d,SOFTWWH12AB017AD0E,2,Not Fair (Clean Radio Edit),Not Fair (Clean Radio Edit),Lily Allen,2009,Not Fair (Clean Radio Edit) - Lily Allen
63,969cc6fb74e076a68e36a04409cb9d3765757508,SOGFUFC12A8C13F1E5,6,It's My Party,1960's School Party Night,Lesley Gore,1963,It's My Party - Lesley Gore
1384,3f152d355d53865a2ca27ac5ceeffb7ebaea0a26,SOMKCLA12A8AE4562E,7,No Ordinary Love,The Best Of Sade,Sade,1992,No Ordinary Love - Sade
4333,5235516080c0ad60972e4f4ce72238697e4bbceb,SOSQJWM12A6D4F79E0,5,Addams Groove,U Can't Touch This - The Collection,MC Hammer,1991,Addams Groove - MC Hammer
650,5a905f000fc1ff3df7ca807d57edb608863db05d,SOSVQNK12AC468D6BE,2,Moar Ghosts 'n' Stuff,Ghosts 'n' Stuff,Deadmau5,0,Moar Ghosts 'n' Stuff - Deadmau5
1967,99d57b8925d3c30c534d2e651cc029fcaaa86cce,SOQMRTC12A8C13B091,1,Responsible Stu,One Ten Hundred Thousand Million,Octopus Project,2005,Responsible Stu - Octopus Project
112,e006b1a48f466bf59feefed32bec6494495a4436,SOWUVFQ12AB018740E,11,Corn Bread,Europe 2009,DAVE MATTHEWS BAND,2009,Corn Bread - DAVE MATTHEWS BAND
3024,5555d1bc4488a310753a9d7b4c4d0b92c2d5d674,SOSLDJP12A8C13AF4D,7,Heartbreak Hotel,Whitney The Greatest Hits,Whitney Houston feat. Faith Evans and Kelly Price,1999,Heartbreak Hotel - Whitney Houston feat. Faith Evans and Kelly Price
5444,12a4a991c8b53cd6906995caed8b1f2bd3b6436a,SONSBPP12A8AE45728,1,The Ice Is Getting Thinner (Album Version),Narrow Stairs,Death Cab for Cutie,2008,The Ice Is Getting Thinner (Album Version) - Death Cab for Cutie
804,baf47ed8da24d607e50d8684cde78b923538640f,SOHGYWI12A67ADCD65,5,Hagamos Algo Superficial Y Vulgar,Grandes Éxitos: Alaska,Fangoria,1990,Hagamos Algo Superficial Y Vulgar - Fangoria
5652,1b704d4cddabea8258bd93497fcb73eab32fa592,SOVJKGP12A8C13CF2E,3,Let The Flames Begin (Album Version),Riot!,Paramore,0,Let The Flames Begin (Album Version) - Paramore
8769,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOPKQGW12AAF3B17AB,3,Sway,I Love You_ Beth Cooper (Music From The Motion Picture),The Kooks,2008,Sway - The Kooks
5930,806ccae96c8ecb1c198482aff785ccd6bbe17143,SOTWSXL12A8C143349,1,Love Story,Het Beste Uit De Top 40 - 2009,Taylor Swift,2008,Love Story - Taylor Swift
8318,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOMHEVM12A58A80951,3,For Emma,For Emma_ Forever Ago,Bon Iver,2007,For Emma - Bon Iver
3331,eb1ad31d040406c6428c5f4420b0bc709b1c5350,SOZPPYS12898B694CE,1,Everywhere I Go,Thickfreakness,The Black Keys,2003,Everywhere I Go - The Black Keys
7152,66a0167a7c636b06efc39953aca127667beea260,SOTCMDJ12A6D4F8528,1,The Gift,We Don't Need To Whisper,Angels and Airwaves,2006,The Gift - Angels and Airwaves
8053,4bc4ae71635b18628f4b0fde4ecb0a40d6d68bf5,SOULTKQ12AB018A183,4,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0,Nothin' On You [feat. Bruno Mars] (Album Version) - B.o.B
9901,c5d42aa00afa6889de703c49f40ecb26b1c401c4,SOQENWM12AB017EDE0,8,Como Duele (Album),Como Duele,Ricardo Arjona,0,Como Duele (Album) - Ricardo Arjona
3793,884209a41deb55df792f074bccf8af1c1c31768b,SOEWYLX12A6D4F8E5F,1,Digital Love,Ministry of Sound Presents Chilled II 1991-2009,Daft Punk,2001,Digital Love - Daft Punk
9731,b12c786deef0e618b5f277bc337f67128f425efe,SONMEPF12A6D4F3C92,2,Over,Portishead,Portishead,1997,Over - Portishead
9592,3e85485842091c62ad86fa31f1e35799df1cf0c4,SOJPLEQ12AC468A0CD,21,Window Seat,New Amerykah Part Two: Return of the Ankh,Erykah Badu,2010,Window Seat - Erykah Badu
851,baf47ed8da24d607e50d8684cde78b923538640f,SOURJIK12A8C138182,1,Not Falling Apart,It Won't Be Soon Before Long,Maroon 5,2002,Not Falling Apart - Maroon 5
9754,b12c786deef0e618b5f277bc337f67128f425efe,SORALMO12AF729EBB4,1,Country House,The Great Escape,Blur,1995,Country House - Blur
6838,0a00498b9d607844a8826184ae7278097d1c008a,SOLFXKT12AB017E3E0,3,Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2009,Fireflies - Charttraxx Karaoke
3057,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOGQKJF12A8C135BC4,6,El Chupe Nibre (Album Version),The Mouse And The Mask,Danger Doom,2005,El Chupe Nibre (Album Version) - Danger Doom
2665,ea07020bb223c733ccc55aa925ebcc25c4d97377,SOHWXEU12A8C1320D1,1,Dans Ma Bulle (Edit Radio - Live 2006),Dans Ma Bulle,Diam's,2006,Dans Ma Bulle (Edit Radio - Live 2006) - Diam's
4950,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOIIQPJ12B0B807AF4,1,Broken Face,Wave Of Mutilation: Best Of Pixies,Pixies,1987,Broken Face - Pixies
2679,ea07020bb223c733ccc55aa925ebcc25c4d97377,SORALYQ12A8151BA99,5,If I Ain't Got You,R&B Love Collection 08,Alicia Keys,2003,If I Ain't Got You - Alicia Keys
3893,884209a41deb55df792f074bccf8af1c1c31768b,SOTNHIP12AB0183131,1,Make Her Say,Make Her Say,Kid Cudi / Kanye West / Common,2009,Make Her Say - Kid Cudi / Kanye West / Common
5491,12a4a991c8b53cd6906995caed8b1f2bd3b6436a,SOYEZKY12AB018909A,1,Rain Is A Good Thing,Doin' My Thing,Luke Bryan,2009,Rain Is A Good Thing - Luke Bryan
2977,15415fa2745b344bce958967c346f2a89f792f63,SOEBPXF12A8C14295A,1,Just The Way You Are,Heartbreakers (N),Barry White,1978,Just The Way You Are - Barry White
1053,403b3b867fc71dfdcc12652f30e88bdc7ccd9aa4,SOVHDQC12A8C13D868,2,Mahna_ Mahna,b-sides and rarities,Cake,2007,Mahna_ Mahna - Cake
7521,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOQZFAC12A8C141E9A,18,They Bring Me To You,Simple Times,Joshua Radin,2008,They Bring Me To You - Joshua Radin
8345,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOTITQM12AF72A1C5D,2,Circuit Breaker,The Understanding,Röyksopp,2005,Circuit Breaker - Röyksopp
7734,390c2e81bc9cf885608a0891c0a7eb13f1fd3336,SOLDUYB12A67020910,2,When I'm Gone,When I'm Gone Hit Pack,3 Doors Down,2002,When I'm Gone - 3 Doors Down
5662,1b704d4cddabea8258bd93497fcb73eab32fa592,SOXFSTR12A8AE463B0,1,The Small Print,Absolution,Muse,0,The Small Print - Muse
2353,8cbb5066924ec788e3fea9a4aae59586f46f38fa,SOXTTHY12A8C137072,1,Rememo,Aha Shake Heartbreak,Kings Of Leon,2004,Rememo - Kings Of Leon
2660,ea07020bb223c733ccc55aa925ebcc25c4d97377,SOGQXYY12A8C13E495,4,Miles Away (Album Version),Hard Candy,Madonna,2008,Miles Away (Album Version) - Madonna
1028,0afaa5d9d04bf85af720fe8cc566a41ca3e41c97,SOLCCCU12A58A7FBD9,1,Mardy Bum,Whatever People Say I Am_ That's What I'm Not,Arctic Monkeys,2004,Mardy Bum - Arctic Monkeys
8472,dd67a78d5f9d8140a0d83849441ca1807f7ea790,SOEGIYH12A6D4FC0E3,2,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,0,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile) - Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner
2711,b61afb42335287239bd40e1dea50d849cbf8a9a9,SOBKRVG12A8C133269,6,I Stand Corrected (Album),Vampire Weekend,Vampire Weekend,2007,I Stand Corrected (Album) - Vampire Weekend
3821,884209a41deb55df792f074bccf8af1c1c31768b,SOJLJQK12A6D4FC6E9,1,Far Away,In Ghost Colours,Cut Copy,2008,Far Away - Cut Copy
7026,529b42cdbc379ad2e765aec6d3bad8a192038741,SOZYNNT12A81C22E0F,6,It's Not Over Yet,NME Presents The Essential Bands,Klaxons,2006,It's Not Over Yet - Klaxons
3128,344af62cf08ea5c4ea1eb554366d221c1431f4d3,SOCGMXY12A6701E069,1,When We Dance,Fields Of Gold - The Best Of Sting 1984 - 1994,Sting,1994,When We Dance - Sting
5593,1b704d4cddabea8258bd93497fcb73eab32fa592,SOLCKBV12A8C13CEC1,5,KissKiss,Hôtel Costes 8 by Stéphane Pompougnac,Parov Stelar,2004,KissKiss - Parov Stelar
9671,b12c786deef0e618b5f277bc337f67128f425efe,SOAZZRU12AB0182B0E,5,Oceanside,Akron/Family & Angels Of Light,Angels Of Light & Akron/Family,2005,Oceanside - Angels Of Light & Akron/Family
7377,94d5bdc37683950e90c56c9b32721edb5d347600,SOVNVRF12A8C14477B,2,I Can't Stay,Day & Age,The Killers,2008,I Can't Stay - The Killers
7942,9c4e14bbd043846b632d3737f08104dcaeb88142,SOXOURR12AB0186379,1,Awake,Speak Hit Pack,Godsmack,2000,Awake - Godsmack
5896,806ccae96c8ecb1c198482aff785ccd6bbe17143,SOBPKPW12A6701E8F9,1,'Till I Collapse,The Eminem Show,Eminem / Nate Dogg,2002,'Till I Collapse - Eminem / Nate Dogg
8015,4bc4ae71635b18628f4b0fde4ecb0a40d6d68bf5,SOBDJMW12A8C137318,3,Thong Song,Ultimate R&B 2008 (Double Album),Sisqo,1998,Thong Song - Sisqo
8696,c24ec42f0e449ff39a95a01f0795f833b898f71b,SODOWUC12AC9097E76,3,One Time,One Time,Justin Bieber,2009,One Time - Justin Bieber
903,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOANRRH12AB01861EB,1,No One Else,Weezer,Weezer,1994,No One Else - Weezer
2040,732f88be38fae217f8ab7e24c20dd072436e3e40,SOFJOSL12AB0181CA8,1,Flagpole Sitta,Scooby-Doo 2: Monsters Unleashed,Harvey Danger,1997,Flagpole Sitta - Harvey Danger
3751,884209a41deb55df792f074bccf8af1c1c31768b,SOAMPRJ12A8AE45F38,2,Rorol,Identification Parade,Octopus Project,2002,Rorol - Octopus Project
8742,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOLRGVL12A8C143BC3,4,Bulletproof,Bulletproof,La Roux,2009,Bulletproof - La Roux
1862,77cac5c3389010b64d01b30f725c24de4a5bb626,SOXHIDK12A58A7CFB3,2,Who's Real,The Last Kiss,Jadakiss / Swizz Beatz / OJ Da Juiceman,2009,Who's Real - Jadakiss / Swizz Beatz / OJ Da Juiceman
1805,e6b4dbf8e48346fbfd233fa96cdf5daee25ae77c,SOPKQHS12A81C21AD6,1,Fruta Fresca,El Amor De Mi Tierra,Carlos Vives,1999,Fruta Fresca - Carlos Vives
7468,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOCXDJM12AB0189E47,1,Hickory (Album),Around The Well,Iron And Wine,0,Hickory (Album) - Iron And Wine
9912,c5d42aa00afa6889de703c49f40ecb26b1c401c4,SOWSORU12A8C13D020,4,Yin Yang,Bonito,Jarabe De Palo,2003,Yin Yang - Jarabe De Palo
945,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOJEVHC12A8C13C3E5,1,Flume,For Emma_ Forever Ago,Bon Iver,2007,Flume - Bon Iver
4259,8dcb524ff75e0ad0f0a80aaccadf7bbaa3b89a41,SOGUBKQ12A8C135DEC,1,Choppers,LP,Holy Fuck,2007,Choppers - Holy Fuck
2107,732f88be38fae217f8ab7e24c20dd072436e3e40,SOQHCTH12A67AE1F2D,1,Only This Moment (Röyksopps Forsiktige Massasje),Only This Moment,Röyksopp,2005,Only This Moment (Röyksopps Forsiktige Massasje) - Röyksopp
9917,c18b096e15ca0adf42c11763c9535973cc4b507b,SOFRQTD12A81C233C0,2,Sehr kosmisch,Musik von Harmonia,Harmonia,0,Sehr kosmisch - Harmonia
5610,1b704d4cddabea8258bd93497fcb73eab32fa592,SONNPHH12A58A79A9C,1,Running Away,Gentlemania,Kevin Blechdom,2009,Running Away - Kevin Blechdom
8641,fd585aef5c32d3943bd6e7f9f39aa216ba659fd0,SOAUWYT12A81C206F1,1,Undo,Vespertine Live,Björk,2001,Undo - Björk
941,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOHWFUW12A8C13ECCA,1,Execution Day,Mass Romantic,The New Pornographers,2000,Execution Day - The New Pornographers
6930,ea64e003562d2f0f39e5a7dd84af5b1969e0fea3,SOUBAPF12A67021D73,4,The Good Life,Pinkerton,Weezer,1996,The Good Life - Weezer
1020,0afaa5d9d04bf85af720fe8cc566a41ca3e41c97,SOAFPPR12A8AE46454,7,Something,Across The Universe,Jim Sturgess,2007,Something - Jim Sturgess
1847,77cac5c3389010b64d01b30f725c24de4a5bb626,SOLJZEL12AB018D3B4,1,Do the whirlwind,Kitsuné Maison Compilation,Architecture In Helsinki,2004,Do the whirlwind - Architecture In Helsinki
3898,884209a41deb55df792f074bccf8af1c1c31768b,SOUEEWG12A8C139E61,2,Tone Bank Jungle,Holy Fuck,Holy Fuck,2005,Tone Bank Jungle - Holy Fuck
437,5a905f000fc1ff3df7ca807d57edb608863db05d,SOFJMYJ12A6D4F8E59,1,One More Time (Short Radio Edit),One More Time,Daft Punk,2000,One More Time (Short Radio Edit) - Daft Punk
5410,12a4a991c8b53cd6906995caed8b1f2bd3b6436a,SOHIEDO12AB018C687,1,The Sound of Settling (Album Version),iTunes Originals,Death Cab for Cutie,2005,The Sound of Settling (Album Version) - Death Cab for Cutie
4882,25fc0200450bbf726c8511fabe31ecfdb81732eb,SOOWVNN12A8C140775,2,Rabbit Heart (Raise It Up),Rabbit Heart EP,Florence + The Machine,2009,Rabbit Heart (Raise It Up) - Florence + The Machine
739,5a905f000fc1ff3df7ca807d57edb608863db05d,SOZNZGG12AB018305A,2,The Joker,The Joker,Fatboy Slim,2004,The Joker - Fatboy Slim
7601,dc777dbe9ced6ddb5b813e7e0bbb718171b87870,SOPQQNK12A8C13BF46,1,Recycled Air (Album),Give Up,Postal Service,2003,Recycled Air (Album) - Postal Service
5102,7d0317ddb859a960cb4836e7c7e9982a54fd64e2,SOVRXWW12A6D4F74D3,1,Breathing,No Name Face,Lifehouse,2000,Breathing - Lifehouse
586,5a905f000fc1ff3df7ca807d57edb608863db05d,SOPOFBW12AB0187196,1,Saturdays,Bright Like Neon Love,Cut Copy,2004,Saturdays - Cut Copy
2989,15415fa2745b344bce958967c346f2a89f792f63,SOJJDYI12A6701FC23,6,Holes To Heaven,On and On,Jack Johnson,2003,Holes To Heaven - Jack Johnson
4444,18dc95f354220b343e98ebbb7c8564291284ed9f,SOJKUOG12A6D4FD11D,1,Oh_ Susannah (LP Version),Sweet Baby James,James Taylor,0,Oh_ Susannah (LP Version) - James Taylor
6567,8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOHOZFL12AB018266A,1,These Four Walls,Breakout,Miley Cyrus,2008,These Four Walls - Miley Cyrus
9220,22d652f8891ba2186a4ce3ee8de7c192148108ef,SOJOZTM12A8C140618,5,I'm A Cuckoo,The Inbetweeners,Belle & Sebastian,2003,I'm A Cuckoo - Belle & Sebastian
5259,12497e138741a0b94bb36a14bef32c9d0ee20fec,SOKUTUM12A6701D9CD,2,Do You Remember,In Between Dreams,Jack Johnson,2005,Do You Remember - Jack Johnson
9920,c18b096e15ca0adf42c11763c9535973cc4b507b,SOJLWFC12A8C14405F,1,Outro,Restarted/ Simera To Giortazo The Deluxe Edition,Stavento,0,Outro - Stavento
5637,1b704d4cddabea8258bd93497fcb73eab32fa592,SOSJYDL12A679D7E6E,1,The Perfect Drug,Lost Highway,Nine Inch Nails,1996,The Perfect Drug - Nine Inch Nails
6797,99c8f28e3349b5e1e719995a008912b108126f3c,SOJZROQ12AB01892B8,3,Sextape (Album Version),Diamond Eyes,Deftones,2010,Sextape (Album Version) - Deftones
573,5a905f000fc1ff3df7ca807d57edb608863db05d,SOOSJIV12AF729E09E,10,Great Release,LCD Soundsystem,LCD Soundsystem,2005,Great Release - LCD Soundsystem
647,5a905f000fc1ff3df7ca807d57edb608863db05d,SOSQQGF12A6310F0FB,2,Politik,A Rush Of Blood To The Head,Coldplay,2002,Politik - Coldplay
595,5a905f000fc1ff3df7ca807d57edb608863db05d,SOPUUQJ12AF72A5748,2,Susie Q,Creedence Gold,Creedence Clearwater Revival,1979,Susie Q - Creedence Clearwater Revival
7034,d5618c6813c7a067646edcf9c7243ccb95919460,SOHPRQX12AB0186127,7,O.N.E,ODD BLOOD,Yeasayer,2010,O.N.E - Yeasayer
5347,37029a65b9925fb3c1964774fcab695b82955f76,SOBONKR12A58A7A7E0,79,You're The One,If There Was A Way,Dwight Yoakam,1990,You're The One - Dwight Yoakam
3396,4b73abafd2a8309c29695ce368bbf17ab32f3d3a,SORPVUD12A67020454,2,Otherside (Album Version),Greatest Hits,Red Hot Chili Peppers,2003,Otherside (Album Version) - Red Hot Chili Peppers
7444,9d332c1944d50d7e4653722db5ba5e55daea2bfd,SOOFYTN12A6D4F9B35,1,Représente,Fat Come Back,Alliance Ethnik,1999,Représente - Alliance Ethnik
9500,8bde0ae3eda6b6f26c8a91eb5750d416acb3d508,SOBABRB12A6701DF4B,1,Nah!,Up!,Shania Twain,2002,Nah! - Shania Twain
4566,0ef42a19efb74d0a05c308d00636c8d8d41bec0c,SOKYDNO12A6701C791,1,Fuck You,2001,Dr. Dre / Devin a/k/a The Dude / Snoop Dogg,1999,Fuck You - Dr. Dre / Devin a/k/a The Dude / Snoop Dogg
7594,dc777dbe9ced6ddb5b813e7e0bbb718171b87870,SOFKABN12A8AE476C6,1,Just Dance,Just Dance,Lady GaGa / Colby O'Donis,2008,Just Dance - Lady GaGa / Colby O'Donis
8473,dd67a78d5f9d8140a0d83849441ca1807f7ea790,SOEYGIR12A6701DC1E,20,Right Now (Radio Edit),The Collection,Atomic Kitten,1999,Right Now (Radio Edit) - Atomic Kitten
5028,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOXQALX12AB0181468,5,Other Mathematics,Other Mathematics,Ex-Models,0,Other Mathematics - Ex-Models
732,5a905f000fc1ff3df7ca807d57edb608863db05d,SOYVSHP12A6702016E,2,Never As Tired As When I'm Waking Up,LCD Soundsystem,LCD Soundsystem,2005,Never As Tired As When I'm Waking Up - LCD Soundsystem
5240,4691b4c353503da2c108e372ff056a9ac847c4d1,SOZCZTN12AF729E7EC,1,Stressed Out,The Anthology,A Tribe Called Quest featuring Faith Evans,1997,Stressed Out - A Tribe Called Quest featuring Faith Evans
5713,9d100b4175fed9da71b76800b921c4a40d0208b5,SOTWSXL12A8C143349,1,Love Story,Het Beste Uit De Top 40 - 2009,Taylor Swift,2008,Love Story - Taylor Swift
3085,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOOCSWQ12A8C143B7C,1,Da Baddest [Feat. Trey Songz] (Explicit Album Version),Da Baddest [Feat. Trey Songz],Big Kuntry King,0,Da Baddest [Feat. Trey Songz] (Explicit Album Version) - Big Kuntry King
9303,4ccd8c954827238fb97bcedf005ef6b3602370dd,SOKOXWU12AF72AD1BC,1,The Real Slim Shady,Curtain Call,Eminem,2000,The Real Slim Shady - Eminem
6599,294e414d2d663a93691461909e6e1ba8d1fca2d8,SOSDUAW12A8C13BA7D,1,Arguru,Random Album Title ,Deadmau5,2007,Arguru - Deadmau5
4680,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOGKGDF12AF72A5DD6,1,One More Sad Song,The All-American Rejects,The All-American Rejects,2001,One More Sad Song - The All-American Rejects
2195,3f9ed694a79835c921ef6d94acd28f876c1d901e,SOLHFOM12AB017F654,1,She Is Love,Losing Sleep,Parachute,2009,She Is Love - Parachute
8352,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOVGLTY12AF72A39CD,3,Better Together,In Between Dreams,Jack Johnson,2005,Better Together - Jack Johnson
2798,b61afb42335287239bd40e1dea50d849cbf8a9a9,SOYSZKU12AF72A9D05,1,In Our Nature,In Our Nature,José González,2007,In Our Nature - José González
6011,adbd40c4f3fe78e7f49f491ea04859ea07de1ed1,SOWYHRX12AB01861CD,2,There are Thousands Sleeping in Peace,All the Suits Began to Fall off,The Mercury Program,2001,There are Thousands Sleeping in Peace - The Mercury Program
9144,6beb4699102775dab57aa406c5ea1217c4ff4869,SOZNSDT12A8C13CE48,2,BirdFlu,Kala,M.I.A.,0,BirdFlu - M.I.A.
9523,8bde0ae3eda6b6f26c8a91eb5750d416acb3d508,SOVZCSJ12A8AE476EF,1,Another Time Another Place,Boy,U2,1994,Another Time Another Place - U2
9411,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,SOOXJDU12A8AE47ECB,1,Again & Again,the bird and the bee,the bird and the bee,2006,Again & Again - the bird and the bee
5311,ffadf9297a99945c0513cd87939d91d8b602936b,SOPWZGK12A67020744,1,Ironic (Acoustic Album Version),Jagged Little Pill Acoustic,Alanis Morissette,2007,Ironic (Acoustic Album Version) - Alanis Morissette
6772,e3937c7c32f5b68422808a854a4a7a824ee448a5,SOZRYWL12A67ADD512,1,Majesty,History Makers: Greatest Hits,Delirious?,2003,Majesty - Delirious?
7704,390c2e81bc9cf885608a0891c0a7eb13f1fd3336,SOAXGDH12A8C13F8A1,1,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0,Dog Days Are Over (Radio Edit) - Florence + The Machine
8798,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOTVLQY12A58A798C2,4,Home,Up From Below,Edward Sharpe & The Magnetic Zeros,2009,Home - Edward Sharpe & The Magnetic Zeros
8356,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOVMTWA12A6D4FB669,6,Pablo Picasso/Mary Lou (Live),Circus Live,John Cale,0,Pablo Picasso/Mary Lou (Live) - John Cale
6250,be0a4b64e9689c46e94b5a9a9c7910ee61aeb16f,SOPXKYD12A6D4FA876,3,Yellow,Yellow,Coldplay,2000,Yellow - Coldplay
1040,81bde1c3a845c64f1677bd9d28f2da85dfefcf30,SOTWSXL12A8C143349,1,Love Story,Het Beste Uit De Top 40 - 2009,Taylor Swift,2008,Love Story - Taylor Swift
